Full name;Identifier;OSI Approved;Text
3dfx Glide License;Glide;;License Text
Abstyles License;Abstyles;;License Text
Academic Free License v1.1;AFL-1.1;Y;License Text
Academic Free License v1.2;AFL-1.2;Y;License Text
Academic Free License v2.0;AFL-2.0;Y;License Text
Academic Free License v2.1;AFL-2.1;Y;License Text
Academic Free License v3.0;AFL-3.0;Y;License Text
Academy of Motion Picture Arts and Sciences BSD;AMPAS;;License Text
Adaptive Public License 1.0;APL-1.0;Y;License Text
Adobe Glyph List License;Adobe-Glyph;;License Text
Adobe Postscript AFM License;APAFML;;License Text
Adobe Systems Incorporated Source Code License Agreement;Adobe-2006;;License Text
Affero General Public License v1.0;AGPL-1.0;;License Text
Afmparse License;Afmparse;;License Text
Aladdin Free Public License;Aladdin;;License Text
Amazon Digital Services License;ADSL;;License Text
AMD's plpa_map.c License;AMDPLPA;;License Text
ANTLR Software Rights Notice;ANTLR-PD;;License Text
Apache License 1.0;Apache-1.0;;License Text
Apache License 1.1;Apache-1.1;Y;License Text
Apache License 2.0;Apache-2.0;Y;License Text
Apple MIT License;AML;;License Text
Apple Public Source License 1.0;APSL-1.0;Y;License Text
Apple Public Source License 1.1;APSL-1.1;Y;License Text
Apple Public Source License 1.2;APSL-1.2;Y;License Text
Apple Public Source License 2.0;APSL-2.0;Y;License Text
Artistic License 1.0;Artistic-1.0;Y;License Text
Artistic License 1.0 (Perl);Artistic-1.0-Perl;Y;License Text
Artistic License 1.0 w/clause 8;Artistic-1.0-cl8;Y;License Text
Artistic License 2.0;Artistic-2.0;Y;License Text
Attribution Assurance License;AAL;Y;License Text
Bahyph License;Bahyph;;License Text
Barr License;Barr;;License Text
Beerware License;Beerware;;License Text
BitTorrent Open Source License v1.0;BitTorrent-1.0;;License Text
BitTorrent Open Source License v1.1;BitTorrent-1.1;;License Text
Boost Software License 1.0;BSL-1.0;Y;License Text
Borceux license;Borceux;;License Text
"BSD 2-clause ""Simplified"" License";BSD-2-Clause;Y;License Text
BSD 2-clause FreeBSD License;BSD-2-Clause-FreeBSD;;License Text
BSD 2-clause NetBSD License;BSD-2-Clause-NetBSD;;License Text
"BSD 3-clause ""New"" or ""Revised"" License";BSD-3-Clause;Y;License Text
BSD 3-clause Clear License;BSD-3-Clause-Clear;;License Text
"BSD 4-clause ""Original"" or ""Old"" License";BSD-4-Clause;;License Text
BSD Protection License;BSD-Protection;;License Text
BSD with attribution;BSD-3-Clause-Attribution;;License Text
BSD-4-Clause (University of California-Specific);BSD-4-Clause-UC;;License Text
bzip2 and libbzip2 License v1.0.5;bzip2-1.0.5;;License Text
bzip2 and libbzip2 License v1.0.6;bzip2-1.0.6;;License Text
Caldera License;Caldera;;License Text
CeCILL Free Software License Agreement v1.0;CECILL-1.0;;License Text
CeCILL Free Software License Agreement v1.1;CECILL-1.1;;License Text
CeCILL Free Software License Agreement v2.0;CECILL-2.0;;License Text
CeCILL-B Free Software License Agreement;CECILL-B;;License Text
CeCILL-C Free Software License Agreement;CECILL-C;;License Text
Clarified Artistic License;ClArtistic;;License Text
CMU License;MIT-CMU;;License Text
CNRI Python License;CNRI-Python;Y;License Text
CNRI Python Open Source GPL Compatible License Agreement;CNRI-Python-GPL-Compatible;;License Text
Code Project Open License 1.02;CPOL-1.02;;License Text
Common Development and Distribution License 1.0;CDDL-1.0;Y;License Text
Common Development and Distribution License 1.1;CDDL-1.1;;License Text
Common Public Attribution License 1.0;CPAL-1.0;Y;License Text
Common Public License 1.0;CPL-1.0;Y;License Text
Computer Associates Trusted Open Source License 1.1;CATOSL-1.1;Y;License Text
Condor Public License v1.1;Condor-1.1;;License Text
Creative Commons Attribution 1.0;CC-BY-1.0;;License Text
Creative Commons Attribution 2.0;CC-BY-2.0;;License Text
Creative Commons Attribution 2.5;CC-BY-2.5;;License Text
Creative Commons Attribution 3.0;CC-BY-3.0;;License Text
Creative Commons Attribution 4.0;CC-BY-4.0;;License Text
Creative Commons Attribution No Derivatives 1.0;CC-BY-ND-1.0;;License Text
Creative Commons Attribution No Derivatives 2.0;CC-BY-ND-2.0;;License Text
Creative Commons Attribution No Derivatives 2.5;CC-BY-ND-2.5;;License Text
Creative Commons Attribution No Derivatives 3.0;CC-BY-ND-3.0;;License Text
Creative Commons Attribution No Derivatives 4.0;CC-BY-ND-4.0;;License Text
Creative Commons Attribution Non Commercial 1.0;CC-BY-NC-1.0;;License Text
Creative Commons Attribution Non Commercial 2.0;CC-BY-NC-2.0;;License Text
Creative Commons Attribution Non Commercial 2.5;CC-BY-NC-2.5;;License Text
Creative Commons Attribution Non Commercial 3.0;CC-BY-NC-3.0;;License Text
Creative Commons Attribution Non Commercial 4.0;CC-BY-NC-4.0;;License Text
Creative Commons Attribution Non Commercial No Derivatives 1.0;CC-BY-NC-ND-1.0;;License Text
Creative Commons Attribution Non Commercial No Derivatives 2.0;CC-BY-NC-ND-2.0;;License Text
Creative Commons Attribution Non Commercial No Derivatives 2.5;CC-BY-NC-ND-2.5;;License Text
Creative Commons Attribution Non Commercial No Derivatives 3.0;CC-BY-NC-ND-3.0;;License Text
Creative Commons Attribution Non Commercial No Derivatives 4.0;CC-BY-NC-ND-4.0;;License Text
Creative Commons Attribution Non Commercial Share Alike 1.0;CC-BY-NC-SA-1.0;;License Text
Creative Commons Attribution Non Commercial Share Alike 2.0;CC-BY-NC-SA-2.0;;License Text
Creative Commons Attribution Non Commercial Share Alike 2.5;CC-BY-NC-SA-2.5;;License Text
Creative Commons Attribution Non Commercial Share Alike 3.0;CC-BY-NC-SA-3.0;;License Text
Creative Commons Attribution Non Commercial Share Alike 4.0;CC-BY-NC-SA-4.0;;License Text
Creative Commons Attribution Share Alike 1.0;CC-BY-SA-1.0;;License Text
Creative Commons Attribution Share Alike 2.0;CC-BY-SA-2.0;;License Text
Creative Commons Attribution Share Alike 2.5;CC-BY-SA-2.5;;License Text
